,precision,recall,f1-score,support
fried_calamari,0.5855263157894737,0.5933333333333334,0.5894039735099337,150.0
fried_rice,0.5837837837837838,0.72,0.6447761194029851,150.0
frozen_yogurt,0.5736040609137056,0.7533333333333333,0.6512968299711815,150.0
garlic_bread,0.5379310344827586,0.52,0.5288135593220339,150.0
gnocchi,0.5045871559633027,0.36666666666666664,0.4247104247104247,150.0
greek_salad,0.47685185185185186,0.6866666666666666,0.5628415300546448,150.0
grilled_cheese_sandwich,0.34838709677419355,0.36,0.3540983606557377,150.0
grilled_salmon,0.4326241134751773,0.4066666666666667,0.41924398625429554,150.0
guacamole,0.631578947368421,0.64,0.6357615894039735,150.0
gyoza,0.5675675675675675,0.56,0.563758389261745,150.0
hamburger,0.48905109489051096,0.44666666666666666,0.4668989547038327,150.0
hot_and_sour_soup,0.6724137931034483,0.78,0.7222222222222223,150.0
hot_dog,0.5419354838709678,0.56,0.5508196721311476,150.0
huevos_rancheros,0.3333333333333333,0.22,0.26506024096385544,150.0
hummus,0.48854961832061067,0.4266666666666667,0.4555160142348755,150.0
ice_cream,0.5103448275862069,0.49333333333333335,0.5016949152542374,150.0
lasagna,0.44571428571428573,0.52,0.48000000000000004,150.0
lobster_bisque,0.7463768115942029,0.6866666666666666,0.7152777777777777,150.0
lobster_roll_sandwich,0.6544117647058824,0.5933333333333334,0.6223776223776224,150.0
macaroni_and_cheese,0.5882352941176471,0.6666666666666666,0.625,150.0
macarons,0.7125748502994012,0.7933333333333333,0.750788643533123,150.0
miso_soup,0.7213114754098361,0.88,0.7927927927927928,150.0
mussels,0.7677419354838709,0.7933333333333333,0.7803278688524591,150.0
nachos,0.3877551020408163,0.38,0.3838383838383838,150.0
omelette,0.3383458646616541,0.3,0.31802120141342755,150.0
onion_rings,0.7315436241610739,0.7266666666666667,0.7290969899665553,150.0
oysters,0.7530120481927711,0.8333333333333334,0.7911392405063291,150.0
pad_thai,0.5833333333333334,0.7466666666666667,0.6549707602339181,150.0
paella,0.6,0.62,0.6098360655737705,150.0
pancakes,0.6106870229007634,0.5333333333333333,0.5693950177935944,150.0
panna_cotta,0.4519774011299435,0.5333333333333333,0.4892966360856269,150.0
peking_duck,0.6131386861313869,0.56,0.5853658536585366,150.0
pho,0.740506329113924,0.78,0.7597402597402597,150.0
pizza,0.5621301775147929,0.6333333333333333,0.5956112852664577,150.0
pork_chop,0.32432432432432434,0.24,0.27586206896551724,150.0
poutine,0.5439560439560439,0.66,0.5963855421686747,150.0
prime_rib,0.4936708860759494,0.52,0.5064935064935066,150.0
pulled_pork_sandwich,0.5038759689922481,0.43333333333333335,0.4659498207885305,150.0
ramen,0.5671641791044776,0.5066666666666667,0.5352112676056338,150.0
ravioli,0.31343283582089554,0.28,0.295774647887324,150.0
red_velvet_cake,0.5625,0.6,0.5806451612903225,150.0
risotto,0.4161073825503356,0.41333333333333333,0.41471571906354515,150.0
samosa,0.6515151515151515,0.5733333333333334,0.6099290780141844,150.0
sashimi,0.6549707602339181,0.7466666666666667,0.6978193146417445,150.0
scallops,0.44036697247706424,0.32,0.37065637065637064,150.0
seaweed_salad,0.6927374301675978,0.8266666666666667,0.7537993920972645,150.0
shrimp_and_grits,0.42162162162162165,0.52,0.4656716417910448,150.0
spaghetti_bolognese,0.675,0.72,0.6967741935483871,150.0
spaghetti_carbonara,0.7986111111111112,0.7666666666666667,0.7823129251700681,150.0
spring_rolls,0.6902654867256637,0.52,0.5931558935361216,150.0
steak,0.32142857142857145,0.18,0.23076923076923075,150.0
strawberry_shortcake,0.5692307692307692,0.49333333333333335,0.5285714285714285,150.0
sushi,0.5108695652173914,0.6266666666666667,0.562874251497006,150.0
tacos,0.389937106918239,0.41333333333333333,0.40129449838187703,150.0
takoyaki,0.5721925133689839,0.7133333333333334,0.6350148367952522,150.0
tiramisu,0.4748201438848921,0.44,0.45674740484429066,150.0
tuna_tartare,0.24666666666666667,0.24666666666666667,0.2466666666666667,150.0
waffles,0.5490196078431373,0.56,0.5544554455445545,150.0
accuracy,0.5523432343234324,0.5523432343234324,0.5523432343234324,0.5523432343234324
macro avg,0.5479657904249587,0.5523432343234325,0.5461355682405876,15150.0
weighted avg,0.5479657904249587,0.5523432343234324,0.5461355682405875,15150.0
