,precision,recall,f1-score,support
lobster_bisque,0.9178082191780822,0.8933333333333333,0.9054054054054055,150.0
lobster_roll_sandwich,0.9552238805970149,0.8533333333333334,0.9014084507042254,150.0
macaroni_and_cheese,0.9136690647482014,0.8466666666666667,0.8788927335640138,150.0
macarons,0.9266666666666666,0.9266666666666666,0.9266666666666666,150.0
miso_soup,0.9793103448275862,0.9466666666666667,0.9627118644067797,150.0
mussels,0.9013157894736842,0.9133333333333333,0.9072847682119205,150.0
nachos,0.8620689655172413,0.8333333333333334,0.847457627118644,150.0
omelette,0.8493150684931506,0.8266666666666667,0.8378378378378378,150.0
onion_rings,0.8742138364779874,0.9266666666666666,0.8996763754045306,150.0
oysters,0.9602649006622517,0.9666666666666667,0.9634551495016612,150.0
pad_thai,0.9013157894736842,0.9133333333333333,0.9072847682119205,150.0
paella,0.8926174496644296,0.8866666666666667,0.8896321070234113,150.0
pancakes,0.9136690647482014,0.8466666666666667,0.8788927335640138,150.0
panna_cotta,0.6666666666666666,0.84,0.743362831858407,150.0
peking_duck,0.7640449438202247,0.9066666666666666,0.8292682926829269,150.0
pho,0.9225806451612903,0.9533333333333334,0.9377049180327869,150.0
pizza,0.9428571428571428,0.88,0.9103448275862068,150.0
pork_chop,0.6587301587301587,0.5533333333333333,0.6014492753623188,150.0
poutine,0.875,0.84,0.8571428571428572,150.0
prime_rib,0.7586206896551724,0.7333333333333333,0.7457627118644068,150.0
pulled_pork_sandwich,0.7884615384615384,0.82,0.803921568627451,150.0
ramen,0.9253731343283582,0.8266666666666667,0.8732394366197183,150.0
ravioli,0.6447368421052632,0.6533333333333333,0.6490066225165563,150.0
red_velvet_cake,0.8297872340425532,0.78,0.8041237113402062,150.0
risotto,0.851063829787234,0.8,0.8247422680412372,150.0
samosa,0.9290780141843972,0.8733333333333333,0.9003436426116839,150.0
sashimi,0.8947368421052632,0.9066666666666666,0.9006622516556291,150.0
scallops,0.6891891891891891,0.68,0.6845637583892618,150.0
seaweed_salad,0.89937106918239,0.9533333333333334,0.9255663430420712,150.0
shrimp_and_grits,0.8344370860927153,0.84,0.8372093023255813,150.0
spaghetti_bolognese,0.9466666666666667,0.9466666666666667,0.9466666666666667,150.0
spaghetti_carbonara,0.9466666666666667,0.9466666666666667,0.9466666666666667,150.0
spring_rolls,0.8726114649681529,0.9133333333333333,0.8925081433224756,150.0
steak,0.5772357723577236,0.47333333333333333,0.5201465201465202,150.0
strawberry_shortcake,0.75,0.82,0.7834394904458599,150.0
sushi,0.87248322147651,0.8666666666666667,0.8695652173913044,150.0
tacos,0.8175675675675675,0.8066666666666666,0.8120805369127517,150.0
takoyaki,0.8284023668639053,0.9333333333333333,0.877742946708464,150.0
tiramisu,0.754601226993865,0.82,0.7859424920127794,150.0
tuna_tartare,0.6906474820143885,0.64,0.6643598615916955,150.0
waffles,0.8368794326241135,0.7866666666666666,0.8109965635738831,150.0
accuracy,0.833069306930693,0.833069306930693,0.833069306930693,0.833069306930693
macro avg,0.8347954508253858,0.833069306930693,0.8327507288214571,15150.0
weighted avg,0.8347954508253856,0.833069306930693,0.8327507288214571,15150.0
