,precision,recall,f1-score,support
scallops,0.6758620689655173,0.6533333333333333,0.6644067796610169,150.0
seaweed_salad,0.9387755102040817,0.92,0.9292929292929293,150.0
shrimp_and_grits,0.8435374149659864,0.8266666666666667,0.835016835016835,150.0
spaghetti_bolognese,0.9407894736842105,0.9533333333333334,0.9470198675496689,150.0
spaghetti_carbonara,0.9655172413793104,0.9333333333333333,0.9491525423728815,150.0
spring_rolls,0.9492753623188406,0.8733333333333333,0.9097222222222222,150.0
steak,0.5851851851851851,0.5266666666666666,0.5543859649122806,150.0
strawberry_shortcake,0.8012820512820513,0.8333333333333334,0.8169934640522877,150.0
sushi,0.8395061728395061,0.9066666666666666,0.8717948717948718,150.0
tacos,0.863013698630137,0.84,0.8513513513513513,150.0
takoyaki,0.8509316770186336,0.9133333333333333,0.8810289389067525,150.0
tiramisu,0.7948717948717948,0.8266666666666667,0.8104575163398693,150.0
tuna_tartare,0.5775401069518716,0.72,0.6409495548961425,150.0
waffles,0.8402777777777778,0.8066666666666666,0.8231292517006803,150.0
accuracy,0.8312871287128712,0.8312871287128712,0.8312871287128712,0.8312871287128712
macro avg,0.8344997233864963,0.8312871287128714,0.8314930393193344,15150.0
weighted avg,0.8344997233864961,0.8312871287128712,0.8314930393193345,15150.0
