,precision,recall,f1-score,support
dumplings,0.8903225806451613,0.92,0.9049180327868852,150.0
edamame,1.0,0.98,0.98989898989899,150.0
eggs_benedict,0.9276315789473685,0.94,0.9337748344370861,150.0
escargots,0.9295774647887324,0.88,0.9041095890410958,150.0
falafel,0.8775510204081632,0.86,0.8686868686868686,150.0
filet_mignon,0.6262626262626263,0.8266666666666667,0.7126436781609197,150.0
fish_and_chips,0.8773006134969326,0.9533333333333334,0.9137380191693292,150.0
foie_gras,0.7232704402515723,0.7666666666666667,0.744336569579288,150.0
french_fries,0.94,0.94,0.94,150.0
french_onion_soup,0.875,0.9333333333333333,0.9032258064516129,150.0
french_toast,0.903448275862069,0.8733333333333333,0.888135593220339,150.0
fried_calamari,0.9066666666666666,0.9066666666666666,0.9066666666666666,150.0
fried_rice,0.9342105263157895,0.9466666666666667,0.9403973509933775,150.0
frozen_yogurt,0.8944099378881988,0.96,0.9260450160771705,150.0
garlic_bread,0.8926174496644296,0.8866666666666667,0.8896321070234113,150.0
gnocchi,0.8828125,0.7533333333333333,0.8129496402877697,150.0
greek_salad,0.8954248366013072,0.9133333333333333,0.9042904290429042,150.0
grilled_cheese_sandwich,0.8590604026845637,0.8533333333333334,0.8561872909698997,150.0
grilled_salmon,0.8740157480314961,0.74,0.8014440433212997,150.0
guacamole,0.9583333333333334,0.92,0.9387755102040817,150.0
gyoza,0.9318181818181818,0.82,0.8723404255319149,150.0
hamburger,0.8353658536585366,0.9133333333333333,0.8726114649681529,150.0
hot_and_sour_soup,0.9455782312925171,0.9266666666666666,0.936026936026936,150.0
hot_dog,0.8903225806451613,0.92,0.9049180327868852,150.0
huevos_rancheros,0.7914110429447853,0.86,0.8242811501597443,150.0
hummus,0.9230769230769231,0.88,0.9010238907849829,150.0
ice_cream,0.8571428571428571,0.84,0.8484848484848485,150.0
lasagna,0.8266666666666667,0.8266666666666667,0.8266666666666667,150.0
lobster_bisque,0.918918918918919,0.9066666666666666,0.912751677852349,150.0
lobster_roll_sandwich,0.9591836734693877,0.94,0.9494949494949495,150.0
macaroni_and_cheese,0.9230769230769231,0.88,0.9010238907849829,150.0
macarons,0.9119496855345912,0.9666666666666667,0.9385113268608414,150.0
miso_soup,0.9662162162162162,0.9533333333333334,0.9597315436241611,150.0
mussels,0.9276315789473685,0.94,0.9337748344370861,150.0
nachos,0.7752808988764045,0.92,0.8414634146341463,150.0
omelette,0.9,0.9,0.9,150.0
onion_rings,0.9455782312925171,0.9266666666666666,0.936026936026936,150.0
oysters,0.9797297297297297,0.9666666666666667,0.9731543624161074,150.0
pad_thai,0.9473684210526315,0.96,0.9536423841059603,150.0
paella,0.9315068493150684,0.9066666666666666,0.918918918918919,150.0
pancakes,0.9047619047619048,0.8866666666666667,0.8956228956228958,150.0
panna_cotta,0.8581560283687943,0.8066666666666666,0.8316151202749141,150.0
peking_duck,0.9155844155844156,0.94,0.9276315789473684,150.0
pho,0.89937106918239,0.9533333333333334,0.9255663430420712,150.0
pizza,0.8980891719745223,0.94,0.9185667752442996,150.0
pork_chop,0.7142857142857143,0.6333333333333333,0.6713780918727915,150.0
poutine,0.910958904109589,0.8866666666666667,0.8986486486486487,150.0
prime_rib,0.803921568627451,0.82,0.8118811881188118,150.0
pulled_pork_sandwich,0.9020979020979021,0.86,0.8805460750853243,150.0
ramen,0.9148936170212766,0.86,0.8865979381443299,150.0
ravioli,0.7181208053691275,0.7133333333333334,0.7157190635451505,150.0
red_velvet_cake,0.8707482993197279,0.8533333333333334,0.8619528619528619,150.0
risotto,0.9064748201438849,0.84,0.8719723183391004,150.0
samosa,0.9054054054054054,0.8933333333333333,0.8993288590604026,150.0
sashimi,0.9178082191780822,0.8933333333333333,0.9054054054054055,150.0
scallops,0.7549668874172185,0.76,0.7574750830564784,150.0
seaweed_salad,0.9533333333333334,0.9533333333333334,0.9533333333333334,150.0
shrimp_and_grits,0.8851351351351351,0.8733333333333333,0.8791946308724832,150.0
spaghetti_bolognese,0.9607843137254902,0.98,0.9702970297029702,150.0
spaghetti_carbonara,0.986013986013986,0.94,0.962457337883959,150.0
spring_rolls,0.9383561643835616,0.9133333333333333,0.9256756756756757,150.0
steak,0.6571428571428571,0.46,0.5411764705882354,150.0
strawberry_shortcake,0.8402777777777778,0.8066666666666666,0.8231292517006803,150.0
sushi,0.7853107344632768,0.9266666666666666,0.8501529051987767,150.0
tacos,0.9136690647482014,0.8466666666666667,0.8788927335640138,150.0
takoyaki,0.91875,0.98,0.9483870967741935,150.0
tiramisu,0.7857142857142857,0.88,0.830188679245283,150.0
tuna_tartare,0.7207792207792207,0.74,0.7302631578947368,150.0
waffles,0.916083916083916,0.8733333333333333,0.89419795221843,150.0
accuracy,0.8786138613861386,0.8786138613861386,0.8786138613861386,0.8786138613861386
macro avg,0.8799758004400445,0.8786138613861386,0.8781606561516467,15150.0
weighted avg,0.8799758004400443,0.8786138613861386,0.8781606561516466,15150.0
